"""89""","""L’enclave 24 août 17h1/2""","""1""","""MS 6/A""","""MS 4 D/28a""","""2""","""1""",,"""1""","""<p>1 f.</p>""","""4""","""4""",,"""1""","""????-08-24""","""1949 ou 1959""","""1""",,,,"""1""",,"""<p>Jaquier et Delacr&eacute;taz [Biblio 451] datent cette note de 1949 ; selon Maggetti, elle daterait de 1959.</p>""","""<p>Cf. MS 14/46 bis.</p>
<p>Au dos d&rsquo;une traduction d&rsquo;Hermann Leisinger, <em>Les Peintures &eacute;trusques de Tarquinia</em>, La Guilde du livre, 1953.</p>""",,"""3"""
"""94""","""Monnéaz 20 mai 48""","""1""","""MS 6/C""","""MS 4 D/25a""","""2""","""1""",,"""5""",,"""1""","""6""",,"""1""","""1948-05-20""",,"""1""",,,"""451""","""1""",,,"""<p>Au verso d&rsquo;une enveloppe &agrave; l&rsquo;en-t&ecirc;te du D&eacute;partement Politique F&eacute;d&eacute;ral, avec un cachet postal du 7 mai 1948.</p>""",,"""3"""
"""97""","""[Envisager ce texte…]""","""1""","""MS 6/E""","""MS 1 G/5a""","""1""","""1""",,"""1""","""<p>1 f.</p>""","""3""","""1""","""<p>Stylo bille, bleu</p>""","""1""",,"""1958-10""","""3""",,,,"""1""","""oui""","""<p>Texte in&eacute;dit, transcrit.</p>""","""<p>Li&eacute; &agrave; &laquo; Comme on ajoute &raquo;, dans [Biblio 514].</p>""",,"""3"""
"""102""","""Campagne perdue""","""1""","""CRLR GR MS 9/B""","""MS 1 I/2a""","""1""","""1""",,"""1""","""<p>4 ff.</p>""","""5""","""3""","""<p>Plume, noir</p>""","""1""",,"""1972-04""","""3""",,,"""518""","""1""",,,"""<p>&Eacute;bauche de mise en page de titre, d&eacute;dicace et citation du <em>King Lear</em> de Shakespeare: ""Never, never, never, never, never!""</p>""",,"""1"""
"""110""","""[Dimanche 4 juin 67] et [Battoir de C. 5 juin 67]""","""1""","""CRLR GR MS 9/E""","""MS 1 I/7d""","""2""","""1""",,"""1""","""<p>1 f. verso</p>""","""5""","""1""",,"""1""","""1967-06-4/5""",,"""1""",,,"""451""","""1""",,,"""<p>Au recto, &laquo; essai d&rsquo;utilisation du Mirage de l&rsquo;&eacute;ternel &raquo;.</p>""",,"""1"""
"""111""","""[L’idée du poème refleurit…]""","""1""","""MS 9/E""","""MS 1 I/7e""","""13""","""1""",,"""1""","""<p>1 f.</p>""","""4""","""1""","""<p>Stylo feutre, noir</p>""","""1""",,"""1967""","""2""",,,,"""1""","""oui""",,"""<p>Contient une citation du po&egrave;me <em>Un &ecirc;tre en marche</em>, de Jules Romain, &eacute;galement cit&eacute;e dans le Journal le 5 juin 1967. Et une allusion &agrave; la fianc&eacute;e morte de Novalis. Sans doute en lien avec ""Essai d&rsquo;utilisation de l&rsquo;image de l&rsquo;&Eacute;ternel, La voix me parle d&rsquo;une fianc&eacute;e morte"", repris dans [Biblio 518] (voir fiche 109).</p>""",,"""1"""
"""125""","""Pour ma lecture""","""1""",,"""CG 111/11""","""13""","""1""",,"""1""","""<p>Au dos d&rsquo;une enveloppe</p>""","""3""","""1""",,"""1""",,"""1966-10-21""","""4""",,,,"""1""",,,"""<p>&laquo; Pour ma lecture Rappeler le mot de Ramuz sur les jeunes po&euml;tes capables [2 mots ill.] une [mot ill.] subtile [mot ill.] et qui n&rsquo;ont jamais [mot ill.] quel petit animal&nbsp;&raquo; &laquo; Pour le Ramuz Donner la cl&eacute; des diff&eacute;rents ""visions"" que traduisent les [2 mots ill.] le regard [mot ill.] instantan&eacute; [mot ill.] regard visionnaire &raquo; &laquo; [mot ill.] La Voile Latine met l&rsquo;accent sur l&rsquo;oeuvre d&rsquo;art en chercher dans le Journal (&agrave; partir de 1904). &raquo;</p>""",,"""2"""
"""127""","""[Mon cher filleul...]""","""1""","""CG 440""","""MS 3 A/2a""","""13""","""1""",,"""1""","""<p>1 f.</p>
<p>Papier bleu</p>""","""1""","""6""","""<p>Plume, noire</p>""","""1""",,"""1948""","""1""",,,,"""1""","""oui""","""<p>Recopi&eacute; dans ""textes in&eacute;dits"".</p>""","""<p>Discours que Gustave Roud r&eacute;dige &agrave; l&rsquo;occasion d&rsquo;un mariage (de Jean-Dominique Robert?)</p>""",,"""1"""
"""128""","""[Je sens combien ces présences]""","""1""",,"""CG 114""","""2""","""1""",,"""5""","""<p>Enveloppe d&rsquo;une lettre d&rsquo;Olivier Cherpillod, envoy&eacute;e le 11 juillet 1931</p>""","""1""","""6""",,"""1""",,"""1931-07-11""","""4""",,,"""451""","""1""",,"""<p>Figure dans le journal, mais sans l&rsquo;italique pour les mots soulign&eacute;s.</p>""",,,"""3"""
"""129""","""L’enclave""","""1""","""MS 68 bis""","""MS 4 D/27a""","""2""","""1""",,"""1""","""<p>1 f.</p>""","""3""","""1""",,"""1""",,"""1949-06""","""3""",,,,"""1""",,,"""<p>Mention de [Biblio 279].</p>
<p>Au verso d&rsquo;une traduction de Stefan George (""Kunfttag"").</p>""",,"""3"""
